Na,Ca,K,Mg,Cu,Ni,Zn,Cu_pred,Cu_err,Ni_pred,Ni_err,Zn_pred,Zn_err
375.0,0.0,0.0,0.0,5.0,5.0,5.0,3.8,-1.2,3.43,-1.57,4.96,-0.0414
375.0,0.0,0.0,0.0,5.0,5.0,5.0,3.77,-1.23,3.5,-1.5,4.7,-0.299
500.0,0.0,0.0,0.0,5.0,5.0,5.0,3.73,-1.27,3.44,-1.56,5.46,0.455
500.0,0.0,0.0,0.0,5.0,5.0,5.0,3.84,-1.16,3.44,-1.56,5.39,0.393
500.0,0.0,0.0,0.0,5.0,5.0,5.0,3.68,-1.32,3.49,-1.51,5.34,0.339
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.092,0.265,0.265,0.0616,0.0616
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.116,0.116,0.0404,0.0404
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00867,-0.00867,0.234,0.234,0.0583,0.0583
0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.138,0.138,0.329,0.329,0.0513,0.0513
0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0676,0.0676,0.183,0.183,0.0748,0.0748
0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0655,0.0655,0.187,0.187,0.0599,0.0599
0.0,250.0,0.0,0.0,0.0,0.0,0.0,-0.0452,-0.0452,0.292,0.292,0.0462,0.0462
0.0,250.0,0.0,0.0,0.0,0.0,0.0,-0.0812,-0.0812,0.213,0.213,0.0695,0.0695
0.0,250.0,0.0,0.0,0.0,0.0,0.0,-0.113,-0.113,0.222,0.222,0.0194,0.0194
0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0268,0.0268,0.169,0.169,0.0642,0.0642
0.0,375.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.022,0.19,0.19,0.0515,0.0515
0.0,375.0,0.0,0.0,0.0,0.0,0.0,-0.0485,-0.0485,0.148,0.148,0.0787,0.0787
0.0,500.0,0.0,0.0,0.0,0.0,0.0,-0.0515,-0.0515,0.256,0.256,0.106,0.106
0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0296,0.0296,0.166,0.166,0.0849,0.0849
0.0,500.0,0.0,0.0,0.0,0.0,0.0,-0.0639,-0.0639,0.106,0.106,0.0663,0.0663
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.11,0.114,0.912,-0.0881,0.823,-0.177
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.13,0.135,1.02,0.0171,0.872,-0.128
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.25,0.248,0.969,-0.0308,0.948,-0.0517
0.0,125.0,0.0,0.0,1.0,1.0,1.0,0.937,-0.0629,0.903,-0.0969,0.723,-0.277
0.0,125.0,0.0,0.0,1.0,1.0,1.0,1.08,0.0809,0.925,-0.075,0.784,-0.216
0.0,125.0,0.0,0.0,1.0,1.0,1.0,1.01,0.00983,0.9,-0.1,0.747,-0.253
0.0,250.0,0.0,0.0,1.0,1.0,1.0,0.871,-0.129,0.877,-0.123,0.705,-0.295
0.0,250.0,0.0,0.0,1.0,1.0,1.0,0.963,-0.0374,0.839,-0.161,0.746,-0.254
0.0,250.0,0.0,0.0,1.0,1.0,1.0,0.903,-0.0967,0.813,-0.187,0.795,-0.205
0.0,375.0,0.0,0.0,1.0,1.0,1.0,0.807,-0.193,0.773,-0.227,0.799,-0.201
0.0,375.0,0.0,0.0,1.0,1.0,1.0,0.8,-0.2,0.758,-0.242,0.869,-0.131
0.0,375.0,0.0,0.0,1.0,1.0,1.0,0.807,-0.193,0.872,-0.128,0.77,-0.23
0.0,500.0,0.0,0.0,1.0,1.0,1.0,0.713,-0.287,0.805,-0.195,0.76,-0.24
0.0,500.0,0.0,0.0,1.0,1.0,1.0,0.752,-0.248,0.715,-0.285,0.717,-0.283
0.0,500.0,0.0,0.0,1.0,1.0,1.0,0.774,-0.226,0.657,-0.343,0.703,-0.297
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.25,0.246,1.77,-0.232,1.93,-0.0692
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.21,0.205,1.91,-0.094,2.0,-0.00072
0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.12,0.123,1.9,-0.0979,1.93,-0.0652
0.0,125.0,0.0,0.0,2.0,2.0,2.0,1.94,-0.0585,1.6,-0.395,1.72,-0.282
0.0,125.0,0.0,0.0,2.0,2.0,2.0,1.8,-0.197,1.55,-0.448,1.7,-0.297
0.0,125.0,0.0,0.0,2.0,2.0,2.0,1.9,-0.0959,1.69,-0.307,1.63,-0.367
0.0,250.0,0.0,0.0,2.0,2.0,2.0,1.8,-0.2,1.46,-0.544,1.65,-0.347
